"Plot7"
"Time (sec)","Linear Velocity3 (inch/sec)"
0,3.21528163659584
0.04,3.04929752225621
0.08,2.90986833169059
0.12,2.7960166990497
0.16,2.70080912491823
0.2,2.61374497711117
0.24,2.52329706800393
0.28,2.41890287265759
0.32,2.2921391721372
0.36,2.13715556576422
0.4,1.95059879524263
0.44,1.7312682426821
0.48,1.47968109489612
0.52,1.19765248036527
0.56,0.887938824933258
0.6,0.553957221568205
0.64,0.199575527441672
0.68,-0.171039089295943
0.72,-0.553526452302755
0.76,-0.943406197954354
0.8,-1.33612634637272
0.84,-1.72709451104451
0.88,-2.11169676163721
0.92,-2.48530788464278
0.96,-2.84329617745702
1,-3.18102603475497
1.04,-3.49386257098745
1.08,-3.77718455734017
1.12,-4.02641521281426
1.16,-4.23708484205574
1.2,-4.40494427642888
1.24,-4.52615148279859
1.28,-4.59755120283626
1.32,-4.61705216383016
1.36,-4.58407103086157
1.4,-4.49995641635842
1.44,-4.36824758027833
1.48,-4.19460225739718
1.52,-3.98629283477312
1.56,-3.75132466053874
1.6,-3.49740220792641
1.64,-3.23104487722282
1.68,-2.95707820935907
1.72,-2.67855439347362
1.76,-2.3970014473503
1.8,-2.11283572277846
1.84,-1.82579265148745
1.88,-1.53528940617623
1.92,-1.2406890926973
1.96,-0.94147156200305
2,-0.637331368951237
2.04,-0.328226038365473
2.08,-0.0143945335619631
2.12,0.303638998217301
2.16,0.625065462079672
2.2,0.948787502200023
2.24,1.27340724226753
2.28,1.59720106147668
2.32,1.91807843311715
2.36,2.23352306455504
2.4,2.54051657904906
2.44,2.83544858876056
2.48,3.11402327522824
2.52,3.37118271421998
2.56,3.60108209993704
2.6,3.79717143595163
2.64,3.95245869834603
2.68,4.06004143685171
2.72,4.1139790196793
2.76,4.11051030075299
2.8,4.04947913450261
2.84,3.93562199277013
2.88,3.77917532982928
2.92,3.59523081342957
2.96,3.401563715561
3,3.21528163643552
3.04,3.0492975222562
3.08,2.90986833169059
3.12,2.7960166990497
3.16,2.70080912491823
3.2,2.61374497711117
3.24,2.52329706800392
3.28,2.41890287265759
3.32,2.29213917213719
3.36,2.13715556576421
3.4,1.95059879524262
3.44,1.73126824268209
3.48,1.47968109489611
3.52,1.19765248036526
3.56,0.887938824933246
3.6,0.55395722156819
3.64,0.199575527441658
3.68,-0.17103908929596
3.72,-0.55352645230277
3.76,-0.94340619795437
3.8,-1.33612634637274
3.84,-1.72709451104452
3.88,-2.11169676163722
3.92,-2.48530788464278
3.96,-2.84329617745702
4,-3.18102603475497
4.04,-3.49386257098746
4.08,-3.77718455734018
4.12,-4.02641521281426
4.16,-4.23708484205575
4.2,-4.40494427642888
4.24,-4.52615148279859
4.28,-4.59755120283626
4.32,-4.61705216383016
4.36,-4.58407103086156
4.4,-4.49995641635841
4.44,-4.36824758027833
4.48,-4.19460225739717
4.52,-3.98629283477311
4.56,-3.75132466053873
4.6,-3.4974022079264
4.64,-3.2310448772228
4.68,-2.95707820935906
4.72,-2.67855439347361
4.76,-2.39700144735029
4.8,-2.11283572277844
4.84,-1.82579265148744
4.88,-1.53528940617622
4.92,-1.24068909269728
4.96,-0.941471562003023
5,-0.637331368951219
5.04,-0.328226038365447
5.08,-0.0143945335619555
5.12,0.303638998217329
5.16,0.625065462079691
5.2,0.94878750220005
5.24,1.27340724226756
5.28,1.5972010614767
5.32,1.91807843311716
5.36,2.23352306455506
5.4,2.54051657904908
5.44,2.83544858876057
5.48,3.11402327522825
5.52,3.37118271422
5.56,3.60108209993706
5.6,3.79717143595164
5.64,3.95245869834603
5.68,4.06004143685172
5.72,4.1139790196793
5.76,4.11051030075299
5.8,4.0494791345026
5.84,3.93562199277012
5.88,3.77917532982926
5.92,3.59523081342955
5.96,3.40156371556099
6,3.21528163643553
